sku_id,origin,date,actual,prediction,method
SKU-1005,2026-05-13,2026-05-15,81.0,85.0,seasonal7
SKU-1005,2026-05-13,2026-05-16,72.0,97.0,seasonal7
SKU-1005,2026-05-13,2026-05-17,81.0,87.0,seasonal7
SKU-1005,2026-05-13,2026-05-18,102.0,65.0,seasonal7
SKU-1005,2026-05-13,2026-05-19,90.0,97.0,seasonal7
SKU-1005,2026-05-13,2026-05-20,93.0,97.90839694656489,seasonal7
SKU-1005,2026-05-13,2026-05-21,86.0,91.0,seasonal7
SKU-1005,2026-05-13,2026-05-22,89.0,85.0,seasonal7
SKU-1005,2026-05-13,2026-05-23,97.0,97.0,seasonal7
SKU-1005,2026-05-13,2026-05-24,108.0,87.0,seasonal7
SKU-1005,2026-05-13,2026-05-25,,65.0,seasonal7
SKU-1005,2026-05-13,2026-05-26,80.0,97.0,seasonal7
SKU-1005,2026-05-13,2026-05-27,91.0,97.90839694656489,seasonal7
SKU-1005,2026-05-13,2026-05-14,102.0,103.44789726348947,weekday_shrinkage
SKU-1005,2026-05-13,2026-05-15,81.0,98.61262701982344,weekday_shrinkage
SKU-1005,2026-05-13,2026-05-16,72.0,105.90544121878455,weekday_shrinkage
SKU-1005,2026-05-13,2026-05-17,81.0,98.72185119561432,weekday_shrinkage
SKU-1005,2026-05-13,2026-05-18,102.0,108.26846425272214,weekday_shrinkage
SKU-1005,2026-05-13,2026-05-19,90.0,104.298585555707,weekday_shrinkage
SKU-1005,2026-05-13,2026-05-20,93.0,99.23646510078295,weekday_shrinkage
SKU-1005,2026-05-13,2026-05-21,86.0,103.44789726348947,weekday_shrinkage
SKU-1005,2026-05-13,2026-05-22,89.0,98.61262701982344,weekday_shrinkage
SKU-1005,2026-05-13,2026-05-23,97.0,105.90544121878455,weekday_shrinkage
SKU-1005,2026-05-13,2026-05-24,108.0,98.72185119561432,weekday_shrinkage
SKU-1005,2026-05-13,2026-05-25,,108.26846425272214,weekday_shrinkage
SKU-1005,2026-05-13,2026-05-26,80.0,104.298585555707,weekday_shrinkage
SKU-1005,2026-05-13,2026-05-27,91.0,99.23646510078295,weekday_shrinkage
SKU-1006,2026-05-13,2026-05-14,706.0,501.6666666666667,mean28
SKU-1006,2026-05-13,2026-05-15,390.0,501.6666666666667,mean28
SKU-1006,2026-05-13,2026-05-16,413.0,501.6666666666667,mean28
SKU-1006,2026-05-13,2026-05-17,436.0,501.6666666666667,mean28
SKU-1006,2026-05-13,2026-05-18,539.0,501.6666666666667,mean28
SKU-1006,2026-05-13,2026-05-19,407.0,501.6666666666667,mean28
SKU-1006,2026-05-13,2026-05-20,663.0,501.6666666666667,mean28
SKU-1006,2026-05-13,2026-05-21,526.0,501.6666666666667,mean28
SKU-1006,2026-05-13,2026-05-22,418.0,501.6666666666667,mean28
SKU-1006,2026-05-13,2026-05-23,184.0,501.6666666666667,mean28
SKU-1006,2026-05-13,2026-05-24,482.0,501.6666666666667,mean28
SKU-1006,2026-05-13,2026-05-25,502.0,501.6666666666667,mean28
SKU-1006,2026-05-13,2026-05-26,496.0,501.6666666666667,mean28
SKU-1006,2026-05-13,2026-05-27,632.0,501.6666666666667,mean28
SKU-1006,2026-05-13,2026-05-14,706.0,598.0,seasonal7
SKU-1006,2026-05-13,2026-05-15,390.0,491.0,seasonal7
SKU-1006,2026-05-13,2026-05-16,413.0,453.0,seasonal7
SKU-1006,2026-05-13,2026-05-17,436.0,498.0,seasonal7
SKU-1006,2026-05-13,2026-05-18,539.0,449.0,seasonal7
SKU-1006,2026-05-13,2026-05-19,407.0,670.0,seasonal7
SKU-1006,2026-05-13,2026-05-20,663.0,585.0,seasonal7
SKU-1006,2026-05-13,2026-05-21,526.0,598.0,seasonal7
SKU-1006,2026-05-13,2026-05-22,418.0,491.0,seasonal7
SKU-1006,2026-05-13,2026-05-23,184.0,453.0,seasonal7
SKU-1006,2026-05-13,2026-05-24,482.0,498.0,seasonal7
SKU-1006,2026-05-13,2026-05-25,502.0,449.0,seasonal7
SKU-1006,2026-05-13,2026-05-26,496.0,670.0,seasonal7
SKU-1006,2026-05-13,2026-05-27,632.0,585.0,seasonal7
SKU-1006,2026-05-13,2026-05-14,706.0,525.9508746252449,weekday_shrinkage
SKU-1006,2026-05-13,2026-05-15,390.0,454.6971782221069,weekday_shrinkage
SKU-1006,2026-05-13,2026-05-16,413.0,402.8464861547178,weekday_shrinkage
SKU-1006,2026-05-13,2026-05-17,436.0,472.26135675109975,weekday_shrinkage
SKU-1006,2026-05-13,2026-05-18,539.0,473.284900419411,weekday_shrinkage
SKU-1006,2026-05-13,2026-05-19,407.0,574.522674157834,weekday_shrinkage
SKU-1006,2026-05-13,2026-05-20,663.0,603.8332428412928,weekday_shrinkage
SKU-1006,2026-05-13,2026-05-21,526.0,525.9508746252449,weekday_shrinkage
SKU-1006,2026-05-13,2026-05-22,418.0,454.6971782221069,weekday_shrinkage
SKU-1006,2026-05-13,2026-05-23,184.0,402.8464861547178,weekday_shrinkage
SKU-1006,2026-05-13,2026-05-24,482.0,472.26135675109975,weekday_shrinkage
SKU-1006,2026-05-13,2026-05-25,502.0,473.284900419411,weekday_shrinkage
SKU-1006,2026-05-13,2026-05-26,496.0,574.522674157834,weekday_shrinkage
SKU-1006,2026-05-13,2026-05-27,632.0,603.8332428412928,weekday_shrinkage
SKU-1007,2026-05-13,2026-05-14,484.0,492.9642857142857,mean28
SKU-1007,2026-05-13,2026-05-15,430.0,492.9642857142857,mean28
SKU-1007,2026-05-13,2026-05-16,339.0,492.9642857142857,mean28
SKU-1007,2026-05-13,2026-05-17,463.0,492.9642857142857,mean28
SKU-1007,2026-05-13,2026-05-18,607.0,492.9642857142857,mean28
SKU-1007,2026-05-13,2026-05-19,688.0,492.9642857142857,mean28
SKU-1007,2026-05-13,2026-05-20,479.0,492.9642857142857,mean28
SKU-1007,2026-05-13,2026-05-21,545.0,492.9642857142857,mean28
SKU-1007,2026-05-13,2026-05-22,587.0,492.9642857142857,mean28
SKU-1007,2026-05-13,2026-05-23,324.0,492.9642857142857,mean28
SKU-1007,2026-05-13,2026-05-24,461.0,492.9642857142857,mean28
SKU-1007,2026-05-13,2026-05-25,397.0,492.9642857142857,mean28
SKU-1007,2026-05-13,2026-05-26,460.0,492.9642857142857,mean28
